Country,Location,Station ID,Short-term erosion rate (mm kyr^-1),Basin area (km^2),Latitude,Longitude,Koppen¡VGeiger classification,Aridity Index,Aridity Index category,Reference
US,JUDYS BRANCH AT RTE 157 AT GLEN CARBON IL,5588720,570.4033682,21.57460004,38.7408406,-90.0019506,Df,0.8447,Humid,USGS
US,KASKASKIA RIVER AT COOKS MILLS IL,5591200,22.33788248,1225.064324,39.5833666,-88.4133842,Df,0.8988,Humid,USGS
US,L Prickly Pear C at Sieben Rnch nr Wolf Cr MT,6071100,5.626263684,701.886748,46.892781,-112.128317,BSk,0.3395,Semi-arid,USGS
US,Muddy Creek near Vaughn MT,6088300,86.77253597,580.157312,47.625029,-111.6354184,BSk,0.3253,Semi-arid,USGS
US,Muddy Creek at Vaughn MT,6088500,203.0901402,663.036928,47.5612735,-111.5417823,BSk,0.3367,Semi-arid,USGS
US,Bluewater Creek near Bridger MT,6207800,23.0720102,72.7786628,45.331372,-108.801475,Df,0.3286,Semi-arid,USGS
US,Bluewater C at Sanford Ranch nr Bridger MT,6207850,58.4860783,113.7004732,45.3375,-108.835278,Df,0.3145,Semi-arid,USGS
US,Bluewater Creek near Fromberg MT,6207870,58.35065697,120.6934408,45.365,-108.866944,Df,0.318,Semi-arid,USGS
US,FIVEMILE CREEK AB WYOMING CANAL NR PAVILLION WY,6244500,48.53510988,305.618584,43.3013466,-108.7028948,BSk,0.2188,Semi-arid,USGS
US,FIVEMILE CREEK NEAR RIVERTON WY,6250000,364.5711828,922.035728,43.2038475,-108.3989939,BWk,0.1947,Arid,USGS
US,FIVEMILE CREEK NEAR SHOSHONI WY,6253000,441.6961202,1082.614984,43.2219233,-108.2197057,BWk,0.1808,Arid,USGS
US,BADWATER C AT LYSITE WY,6256650,143.9934908,1074.84502,43.264722,-107.695556,BWk,0.2112,Semi-arid,USGS
US,BRIDGER CREEK NEAR LYSITE WYO.,6256800,58.31754647,471.377816,43.289444,-107.721111,BWk,0.21,Semi-arid,USGS
US,BADWATER CREEK AT BONNEVILLE WY,6257000,181.8636701,2092.710304,43.2691247,-108.0800934,BWk,0.1832,Arid,USGS
US,MUDDY CREEK NEAR PAVILLION WY,6257500,109.436538,691.526796,43.3627352,-108.6028908,BWk,0.2202,Semi-arid,USGS
US,MUDDY CREEK NEAR SHOSHONI WY,6258000,180.7221721,859.876016,43.2860692,-108.2756554,BWk,0.1923,Arid,USGS
US,FIFTEEN MILE CREEK NEAR WORLAND WY,6268500,285.5657271,1341.613784,44.0205623,-108.014178,BWk,0.1718,Arid,USGS
US,CROW CREEK AT MOUTH AT PAHASKA WY,6279795,18.94827518,49.4687708,44.513333,-109.972778,Df,0.5482,Dry sub-humid,USGS
US,MIDDLE FORK POWDER RIVER ABOVE KAYCEE WY,6309500,66.81485422,1165.4946,43.6475,-106.808056,Df,0.2942,Semi-arid,USGS
